KP,X,Y,Z
73,585319.3068,2108830.347,-5.09
74,585319.8219,2108829.49,-5.08
75,585320.3369,2108828.632,-5.08
76,585320.8519,2108827.775,-5.13
77,585321.367,2108826.918,-5.18
78,585321.882,2108826.061,-5.23
79,585322.3971,2108825.204,-5.28
80,585322.9121,2108824.347,-5.33
81,585323.4271,2108823.489,-5.37
82,585323.9422,2108822.632,-5.42
83,585324.4572,2108821.775,-5.46
84,585324.9722,2108820.918,-5.51
85,585325.4873,2108820.061,-5.55
86,585326.0023,2108819.204,-5.55
87,585326.5174,2108818.346,-5.55
88,585327.0324,2108817.489,-5.55
89,585327.5474,2108816.632,-5.55
90,585328.0625,2108815.775,-5.55
91,585328.5775,2108814.918,-5.55
92,585329.0926,2108814.061,-5.55
93,585329.6076,2108813.203,-5.55
94,585330.1226,2108812.346,-5.55
95,585330.6377,2108811.489,-5.55
96,585331.1527,2108810.632,-5.54
97,585331.6677,2108809.775,-5.53
98,585332.1828,2108808.918,-5.52
99,585332.6978,2108808.06,-5.52
100,585333.2129,2108807.203,-5.51
101,585333.7279,2108806.346,-5.52
102,585334.2429,2108805.489,-5.54
103,585334.758,2108804.632,-5.55
104,585335.273,2108803.775,-5.56
105,585335.7881,2108802.917,-5.58
106,585336.3031,2108802.06,-5.6
107,585336.8181,2108801.203,-5.61
108,585337.3332,2108800.346,-5.63
109,585337.8482,2108799.489,-5.65
110,585338.3633,2108798.632,-5.67
111,585338.8783,2108797.774,-5.69
112,585339.3933,2108796.917,-5.7
113,585339.9084,2108796.06,-5.71
114,585340.4234,2108795.203,-5.73
115,585340.9384,2108794.346,-5.74
116,585341.4535,2108793.489,-5.76
117,585341.9685,2108792.631,-5.79
118,585342.4836,2108791.774,-5.81
119,585342.9986,2108790.917,-5.83
120,585343.5136,2108790.06,-5.85
121,585344.0287,2108789.203,-5.85
122,585344.5437,2108788.346,-5.85
123,585345.0588,2108787.488,-5.85
124,585345.5738,2108786.631,-5.85
125,585346.0888,2108785.774,-5.84
126,585346.6039,2108784.917,-5.81
127,585347.1189,2108784.06,-5.78
128,585347.6339,2108783.203,-5.75
129,585348.149,2108782.345,-5.71
130,585348.664,2108781.488,-5.67
131,585349.1791,2108780.631,-5.56
132,585349.6941,2108779.774,-5.45
133,585350.2091,2108778.917,-5.34
134,585350.7242,2108778.06,-5.23
135,585351.2392,2108777.202,-5.14
136,585351.7543,2108776.345,-5.08
137,585352.2693,2108775.488,-5.03
138,585352.7843,2108774.631,-4.97
139,585353.2994,2108773.774,-4.92
140,585353.8144,2108772.917,-4.87
141,585354.3294,2108772.059,-4.87
142,585354.8445,2108771.202,-4.87
143,585355.3595,2108770.345,-4.87
144,585355.8746,2108769.488,-4.87
145,585356.3896,2108768.631,-4.87
146,585356.9046,2108767.774,-4.87
147,585357.4197,2108766.916,-4.87
148,585357.9347,2108766.059,-4.87
149,585358.4498,2108765.202,-4.87
150,585358.9648,2108764.345,-4.87
151,585359.4798,2108763.488,-4.87
152,585359.9949,2108762.631,-4.87
153,585360.5099,2108761.773,-4.87
154,585361.025,2108760.916,-4.87
155,585361.54,2108760.059,-4.89
156,585362.055,2108759.202,-4.96
157,585362.5701,2108758.345,-5.04
158,585363.0851,2108757.488,-5.12
159,585363.6001,2108756.63,-5.2
160,585364.1152,2108755.773,-5.25
161,585364.6302,2108754.916,-5.17
162,585365.1453,2108754.059,-5.1
163,585365.6603,2108753.202,-5.03
164,585366.1753,2108752.345,-4.96
165,585366.6904,2108751.487,-4.9
166,585367.2054,2108750.63,-4.9
167,585367.7205,2108749.773,-4.9
168,585368.2355,2108748.916,-4.9
169,585368.7505,2108748.059,-4.9
170,585369.2656,2108747.202,-4.91
171,585369.7806,2108746.344,-4.93
172,585370.2956,2108745.487,-4.96
173,585370.8107,2108744.63,-4.99
174,585371.3257,2108743.773,-5.02
175,585371.8408,2108742.916,-5.06
176,585372.3558,2108742.059,-5.12
177,585372.8708,2108741.201,-5.17
178,585373.3859,2108740.344,-5.23
179,585373.9009,2108739.487,-5.29
180,585374.416,2108738.63,-5.34
181,585374.931,2108737.773,-5.34
182,585375.446,2108736.916,-5.34
183,585375.9611,2108736.058,-5.34
184,585376.4761,2108735.201,-5.34
185,585376.9911,2108734.344,-5.34
186,585377.5062,2108733.487,-5.35
187,585378.0212,2108732.63,-5.35
188,585378.5363,2108731.773,-5.35
189,585379.0513,2108730.915,-5.35
190,585379.5663,2108730.058,-5.35
191,585380.0814,2108729.201,-5.35
192,585380.5964,2108728.344,-5.34
193,585381.1115,2108727.487,-5.34
194,585381.6265,2108726.63,-5.33
195,585382.1415,2108725.772,-5.33
196,585382.6566,2108724.915,-5.32
197,585383.1716,2108724.058,-5.32
198,585383.6867,2108723.201,-5.32
199,585384.2017,2108722.344,-5.31
200,585384.7167,2108721.487,-5.31
201,585385.2318,2108720.629,-5.31
202,585385.7468,2108719.772,-5.31
203,585386.2618,2108718.915,-5.31
204,585386.7769,2108718.058,-5.31
205,585387.2919,2108717.201,-5.31
206,585387.807,2108716.344,-5.33
207,585388.322,2108715.486,-5.35
208,585388.837,2108714.629,-5.36
209,585389.3521,2108713.772,-5.38
210,585389.8671,2108712.915,-5.44
211,585390.3822,2108712.058,-5.62
212,585390.8972,2108711.201,-5.79
213,585391.4122,2108710.343,-5.97
214,585391.9273,2108709.486,-6.14
215,585392.4423,2108708.629,-6.3
216,585392.9573,2108707.772,-6.38
217,585393.4724,2108706.915,-6.46
218,585393.9874,2108706.058,-6.54
219,585394.5025,2108705.2,-6.62
220,585395.0175,2108704.343,-6.69
221,585395.5325,2108703.486,-6.69
222,585396.0476,2108702.629,-6.69
223,585396.5626,2108701.772,-6.69
224,585397.0777,2108700.915,-6.69
225,585397.5927,2108700.057,-6.7
226,585398.1077,2108699.2,-6.73
227,585398.6228,2108698.343,-6.77
228,585399.1378,2108697.486,-6.8
229,585399.6528,2108696.629,-6.84
230,585400.1679,2108695.772,-6.87
231,585400.6829,2108694.914,-6.91
232,585401.198,2108694.057,-6.95
233,585401.713,2108693.2,-6.98
234,585402.228,2108692.343,-7.02
235,585402.7431,2108691.486,-7.05
236,585403.2581,2108690.629,-7.05
237,585403.7732,2108689.771,-7.05
238,585404.2882,2108688.914,-7.05
239,585404.8032,2108688.057,-7.05
240,585405.3183,2108687.2,-7.05
241,585405.8333,2108686.343,-7.05
242,585406.3484,2108685.486,-7.05
243,585406.8634,2108684.628,-7.05
244,585407.3784,2108683.771,-7.05
245,585407.8935,2108682.914,-7.05
246,585408.4085,2108682.057,-7.07
247,585408.9235,2108681.2,-7.08
248,585409.4386,2108680.343,-7.1
249,585409.9536,2108679.485,-7.11
250,585410.4687,2108678.628,-7.14
251,585410.9837,2108677.771,-7.23
252,585411.4987,2108676.914,-7.32
253,585412.0138,2108676.057,-7.41
254,585412.5288,2108675.2,-7.5
255,585413.0439,2108674.342,-7.57
256,585413.5589,2108673.485,-7.62
257,585414.0739,2108672.628,-7.66
258,585414.589,2108671.771,-7.7
259,585415.104,2108670.914,-7.75
260,585415.619,2108670.057,-7.78
261,585416.1341,2108669.199,-7.78
262,585416.6491,2108668.342,-7.78
263,585417.1642,2108667.485,-7.78
264,585417.6792,2108666.628,-7.78
265,585418.1942,2108665.771,-7.79
266,585418.7093,2108664.914,-7.8
267,585419.2243,2108664.056,-7.82
268,585419.7394,2108663.199,-7.84
269,585420.2544,2108662.342,-7.86
270,585420.7694,2108661.485,-7.91
271,585421.2845,2108660.628,-8.02
272,585421.7995,2108659.771,-8.14
273,585422.3145,2108658.913,-8.26
274,585422.8296,2108658.056,-8.37
275,585423.3446,2108657.199,-8.46
276,585423.8597,2108656.342,-8.46
277,585424.3747,2108655.485,-8.47
278,585424.8897,2108654.628,-8.47
279,585425.4048,2108653.77,-8.47
280,585425.9198,2108652.913,-8.47
281,585426.4349,2108652.056,-8.47
282,585426.9499,2108651.199,-8.47
283,585427.4649,2108650.342,-8.47
284,585427.98,2108649.485,-8.47
285,585428.495,2108648.627,-8.48
286,585429.0101,2108647.77,-8.52
287,585429.5251,2108646.913,-8.56
288,585430.0401,2108646.056,-8.6
289,585430.5552,2108645.199,-8.64
290,585431.0702,2108644.342,-8.68
291,585431.5852,2108643.484,-8.73
292,585432.1003,2108642.627,-8.78
293,585432.6153,2108641.77,-8.82
294,585433.1304,2108640.913,-8.87
295,585433.6454,2108640.056,-8.9
296,585434.1604,2108639.199,-8.9
297,585434.6755,2108638.341,-8.9
298,585435.1905,2108637.484,-8.9
299,585435.7056,2108636.627,-8.9
300,585436.2206,2108635.77,-8.91
301,585436.7356,2108634.913,-8.95
302,585437.2507,2108634.056,-8.98
303,585437.7657,2108633.198,-9.02
304,585438.2807,2108632.341,-9.05
305,585438.7958,2108631.484,-9.09
306,585439.3108,2108630.627,-9.15
307,585439.8259,2108629.77,-9.21
308,585440.3409,2108628.913,-9.26
309,585440.8559,2108628.055,-9.32
310,585441.371,2108627.198,-9.36
311,585441.886,2108626.341,-9.36
312,585442.4011,2108625.484,-9.37
313,585442.9161,2108624.627,-9.37
314,585443.4311,2108623.77,-9.38
315,585443.9462,2108622.912,-9.38
316,585444.4612,2108622.055,-9.38
317,585444.9762,2108621.198,-9.38
318,585445.4913,2108620.341,-9.38
319,585446.0063,2108619.484,-9.38
320,585446.5214,2108618.627,-9.37
321,585447.0364,2108617.769,-9.34
322,585447.5514,2108616.912,-9.3
323,585448.0665,2108616.055,-9.27
324,585448.5815,2108615.198,-9.24
325,585449.0966,2108614.341,-9.19
326,585449.6116,2108613.484,-9.1
327,585450.1266,2108612.626,-9.02
328,585450.6417,2108611.769,-8.94
329,585451.1567,2108610.912,-8.85
330,585451.6718,2108610.055,-8.79
331,585452.1868,2108609.198,-8.78
332,585452.7018,2108608.341,-8.77
333,585453.2169,2108607.483,-8.77
334,585453.7319,2108606.626,-8.76
335,585454.2469,2108605.769,-8.75
336,585454.762,2108604.912,-8.75
337,585455.277,2108604.055,-8.74
338,585455.7921,2108603.198,-8.74
339,585456.3071,2108602.34,-8.73
340,585456.8221,2108601.483,-8.73
341,585457.3372,2108600.626,-8.73
342,585457.8522,2108599.769,-8.73
343,585458.3673,2108598.912,-8.73
344,585458.8823,2108598.055,-8.73
345,585459.3973,2108597.197,-8.73
346,585459.9124,2108596.34,-8.72
347,585460.4274,2108595.483,-8.71
348,585460.9424,2108594.626,-8.71
349,585461.4575,2108593.769,-8.7
350,585461.9725,2108592.912,-8.69
351,585462.4876,2108592.054,-8.68
352,585463.0026,2108591.197,-8.67
353,585463.5176,2108590.34,-8.66
354,585464.0327,2108589.483,-8.66
355,585464.5477,2108588.626,-8.65
356,585465.0628,2108587.769,-8.65
357,585465.5778,2108586.911,-8.65
358,585466.0928,2108586.054,-8.65
359,585466.6079,2108585.197,-8.65
360,585467.1229,2108584.34,-8.65
361,585467.638,2108583.483,-8.65
362,585468.153,2108582.626,-8.65
363,585468.668,2108581.768,-8.65
364,585469.1831,2108580.911,-8.65
365,585469.6981,2108580.054,-8.64
366,585470.2131,2108579.197,-8.62
367,585470.7282,2108578.34,-8.59
368,585471.2432,2108577.483,-8.57
369,585471.7583,2108576.625,-8.54
370,585472.2733,2108575.768,-8.52
371,585472.7883,2108574.911,-8.52
372,585473.3034,2108574.054,-8.51
373,585473.8184,2108573.197,-8.5
374,585474.3335,2108572.34,-8.49
375,585474.8485,2108571.482,-8.49
376,585475.3635,2108570.625,-8.49
377,585475.8786,2108569.768,-8.49
378,585476.3936,2108568.911,-8.49
379,585476.9086,2108568.054,-8.49
380,585477.4237,2108567.197,-8.47
381,585477.9387,2108566.339,-8.4
382,585478.4538,2108565.482,-8.34
383,585478.9688,2108564.625,-8.28
384,585479.4838,2108563.768,-8.22
385,585479.9989,2108562.911,-8.12
386,585480.5139,2108562.054,-7.97
387,585481.029,2108561.196,-7.82
388,585481.544,2108560.339,-7.66
389,585482.059,2108559.482,-7.51
390,585482.5741,2108558.625,-7.43
391,585483.0891,2108557.768,-7.5
392,585483.6041,2108556.911,-7.56
393,585484.1192,2108556.053,-7.62
394,585484.6342,2108555.196,-7.69
395,585485.1493,2108554.339,-7.76
396,585485.6643,2108553.482,-7.86
397,585486.1793,2108552.625,-7.96
398,585486.6944,2108551.768,-8.06
399,585487.2094,2108550.91,-8.16
400,585487.7245,2108550.053,-8.22
401,585488.2395,2108549.196,-8.21
402,585488.7545,2108548.339,-8.2
403,585489.2696,2108547.482,-8.18
404,585489.7846,2108546.625,-8.17
405,585490.2997,2108545.767,-8.15
406,585490.8147,2108544.91,-8.13
407,585491.3297,2108544.053,-8.11
408,585491.8448,2108543.196,-8.09
409,585492.3598,2108542.339,-8.07
410,585492.8748,2108541.482,-8.06
411,585493.3899,2108540.624,-8.06
412,585493.9049,2108539.767,-8.06
413,585494.42,2108538.91,-8.06
414,585494.935,2108538.053,-8.06
415,585495.45,2108537.196,-8.04
416,585495.9651,2108536.339,-7.98
417,585496.4801,2108535.481,-7.92
418,585496.9952,2108534.624,-7.86
419,585497.5102,2108533.767,-7.8
420,585498.0252,2108532.91,-7.62
421,585498.5403,2108532.053,-7.25
422,585499.0553,2108531.196,-6.87
423,585499.5703,2108530.338,-6.5
424,585500.0854,2108529.481,-6.13
425,585500.6004,2108528.624,-5.75
426,585501.1155,2108527.767,-5.68
427,585501.6305,2108526.91,-5.6
428,585502.1455,2108526.053,-5.53
429,585502.6606,2108525.195,-5.45
430,585503.1756,2108524.338,-5.38
431,585503.6907,2108523.481,-5.38
432,585504.2057,2108522.624,-5.38
433,585504.7207,2108521.767,-5.38
434,585505.2358,2108520.91,-5.38
435,585505.7508,2108520.052,-5.38
436,585506.2658,2108519.195,-5.38
437,585506.7809,2108518.338,-5.38
438,585507.2959,2108517.481,-5.38
439,585507.811,2108516.624,-5.38
440,585508.326,2108515.767,-5.38
441,585508.841,2108514.909,-5.39
442,585509.3561,2108514.052,-5.4
443,585509.8711,2108513.195,-5.4
444,585510.3862,2108512.338,-5.41
445,585510.9012,2108511.481,-5.42
446,585511.4162,2108510.624,-5.44
447,585511.9313,2108509.766,-5.46
448,585512.4463,2108508.909,-5.49
449,585512.9614,2108508.052,-5.51
450,585513.4764,2108507.195,-5.53
451,585513.9914,2108506.338,-5.54
452,585514.5065,2108505.481,-5.54
453,585515.0215,2108504.623,-5.54
454,585515.5365,2108503.766,-5.55
455,585516.0516,2108502.909,-5.55
456,585516.5666,2108502.052,-5.55
457,585517.0817,2108501.195,-5.55
458,585517.5967,2108500.338,-5.55
459,585518.1117,2108499.48,-5.55
460,585518.6268,2108498.623,-5.55
461,585519.1418,2108497.766,-5.55
462,585519.6569,2108496.909,-5.54
463,585520.1719,2108496.052,-5.54
464,585520.6869,2108495.195,-5.54
465,585521.202,2108494.337,-5.53
466,585521.717,2108493.48,-5.53
467,585522.232,2108492.623,-5.53
468,585522.7471,2108491.766,-5.52
469,585523.2621,2108490.909,-5.52
470,585523.7772,2108490.052,-5.52
471,585524.2922,2108489.194,-5.53
472,585524.8072,2108488.337,-5.54
473,585525.3223,2108487.48,-5.55
474,585525.8373,2108486.623,-5.56
475,585526.3524,2108485.766,-5.57
476,585526.8674,2108484.909,-5.6
477,585527.3824,2108484.051,-5.64
478,585527.8975,2108483.194,-5.67
479,585528.4125,2108482.337,-5.71
480,585528.9275,2108481.48,-5.75
481,585529.4426,2108480.623,-5.79
482,585529.9576,2108479.766,-5.84
483,585530.4727,2108478.908,-5.89
484,585530.9877,2108478.051,-5.94
485,585531.5027,2108477.194,-5.99
486,585532.0178,2108476.337,-5.99
487,585532.5328,2108475.48,-5.99
488,585533.0479,2108474.623,-5.99
489,585533.5629,2108473.765,-6
490,585534.0779,2108472.908,-6
491,585534.593,2108472.051,-6
492,585535.108,2108471.194,-6
493,585535.6231,2108470.337,-6
494,585536.1381,2108469.48,-6
495,585536.6531,2108468.622,-6
496,585537.1682,2108467.765,-6
497,585537.6832,2108466.908,-6
498,585538.1982,2108466.051,-6
499,585538.7133,2108465.194,-6
500,585539.2283,2108464.337,-6
501,585539.7434,2108463.479,-6.02
502,585540.2584,2108462.622,-6.05
503,585540.7734,2108461.765,-6.07
504,585541.2885,2108460.908,-6.1
505,585541.8035,2108460.051,-6.12
506,585542.3186,2108459.194,-6.15
507,585542.8336,2108458.336,-6.18
508,585543.3486,2108457.479,-6.21
509,585543.8637,2108456.622,-6.24
510,585544.3787,2108455.765,-6.27
511,585544.8937,2108454.908,-6.27
512,585545.4088,2108454.051,-6.27
513,585545.9238,2108453.193,-6.27
514,585546.4389,2108452.336,-6.27
515,585546.9539,2108451.479,-6.26
516,585547.4689,2108450.622,-6.19
517,585547.984,2108449.765,-6.12
518,585548.499,2108448.908,-6.05
519,585549.0141,2108448.05,-5.98
520,585549.5291,2108447.193,-5.91
521,585550.0441,2108446.336,-5.89
522,585550.5592,2108445.479,-5.87
523,585551.0742,2108444.622,-5.84
524,585551.5892,2108443.765,-5.82
525,585552.1043,2108442.907,-5.8
526,585552.6193,2108442.05,-5.8
527,585553.1344,2108441.193,-5.8
528,585553.6494,2108440.336,-5.8
529,585554.1644,2108439.479,-5.8
530,585554.6795,2108438.622,-5.8
531,585555.1945,2108437.764,-5.8
532,585555.7096,2108436.907,-5.8
533,585556.2246,2108436.05,-5.8
534,585556.7396,2108435.193,-5.8
535,585557.2547,2108434.336,-5.8
536,585557.7697,2108433.479,-5.82
537,585558.2848,2108432.621,-5.83
538,585558.7998,2108431.764,-5.85
539,585559.3148,2108430.907,-5.86
540,585559.8299,2108430.05,-5.88
541,585560.3449,2108429.193,-5.9
542,585560.8599,2108428.336,-5.92
543,585561.375,2108427.478,-5.94
544,585561.89,2108426.621,-5.96
545,585562.4051,2108425.764,-5.98
546,585562.9201,2108424.907,-5.98
547,585563.4351,2108424.05,-5.98
548,585563.9502,2108423.193,-5.98
549,585564.4652,2108422.335,-5.98
550,585564.9803,2108421.478,-5.98
551,585565.4953,2108420.621,-5.98
552,585566.0103,2108419.764,-5.98
553,585566.5254,2108418.907,-5.98
554,585567.0404,2108418.05,-5.98
555,585567.5554,2108417.192,-5.98
556,585568.0705,2108416.335,-5.99
557,585568.5855,2108415.478,-6.01
558,585569.1006,2108414.621,-6.02
559,585569.6156,2108413.764,-6.03
560,585570.1306,2108412.907,-6.05
561,585570.6457,2108412.049,-6.07
562,585571.1607,2108411.192,-6.1
563,585571.6758,2108410.335,-6.12
564,585572.1908,2108409.478,-6.14
565,585572.7058,2108408.621,-6.18
566,585573.2209,2108407.764,-6.22
567,585573.7359,2108406.906,-6.27
568,585574.2509,2108406.049,-6.32
569,585574.766,2108405.192,-6.37
570,585575.281,2108404.335,-6.42
571,585575.7961,2108403.478,-6.45
572,585576.3111,2108402.62,-6.49
573,585576.8261,2108401.763,-6.52
574,585577.3412,2108400.906,-6.55
575,585577.8562,2108400.049,-6.52
576,585578.3713,2108399.192,-6.28
577,585578.8863,2108398.335,-6.04
578,585579.4013,2108397.477,-5.8
579,585579.9164,2108396.62,-5.56
580,585580.4314,2108395.763,-5.34
581,585580.9465,2108394.906,-5.25
582,585581.4615,2108394.049,-5.16
583,585581.9765,2108393.192,-5.08
584,585582.4916,2108392.334,-4.99
585,585583.0066,2108391.477,-4.91
586,585583.5216,2108390.62,-4.91
587,585584.0367,2108389.763,-4.91
588,585584.5517,2108388.906,-4.91
589,585585.0668,2108388.049,-4.91
590,585585.5818,2108387.191,-4.91
591,585586.0968,2108386.334,-4.9
592,585586.6119,2108385.477,-4.9
593,585587.1269,2108384.62,-4.89
594,585587.642,2108383.763,-4.88
595,585588.157,2108382.906,-4.88
596,585588.672,2108382.048,-4.86
597,585589.1871,2108381.191,-4.85
598,585589.7021,2108380.334,-4.83
599,585590.2171,2108379.477,-4.82
600,585590.7322,2108378.62,-4.81
601,585591.2472,2108377.763,-4.81
602,585591.7623,2108376.905,-4.8
603,585592.2773,2108376.048,-4.8
604,585592.7923,2108375.191,-4.8
605,585593.3074,2108374.334,-4.8
606,585593.8224,2108373.477,-4.8
607,585594.3375,2108372.62,-4.8
608,585594.8525,2108371.762,-4.8
609,585595.3675,2108370.905,-4.8
610,585595.8826,2108370.048,-4.81
611,585596.3976,2108369.191,-4.85
612,585596.9126,2108368.334,-4.88
613,585597.4277,2108367.477,-4.92
614,585597.9427,2108366.619,-4.96
615,585598.4578,2108365.762,-5
616,585598.9728,2108364.905,-5.03
617,585599.4878,2108364.048,-5.06
618,585600.0029,2108363.191,-5.09
619,585600.5179,2108362.334,-5.12
620,585601.033,2108361.476,-5.15
621,585601.548,2108360.619,-5.15
622,585602.063,2108359.762,-5.15
623,585602.5781,2108358.905,-5.15
624,585603.0931,2108358.048,-5.15
625,585603.6082,2108357.191,-5.15
626,585604.1232,2108356.333,-5.15
627,585604.6382,2108355.476,-5.15
628,585605.1533,2108354.619,-5.15
629,585605.6683,2108353.762,-5.15
630,585606.1833,2108352.905,-5.15
631,585606.6984,2108352.048,-5.15
632,585607.2134,2108351.19,-5.15
633,585607.7285,2108350.333,-5.15
634,585608.2435,2108349.476,-5.15
635,585608.7585,2108348.619,-5.18
636,585609.2736,2108347.762,-5.36
637,585609.7886,2108346.905,-5.54
638,585610.3037,2108346.047,-5.72
639,585610.8187,2108345.19,-5.9
640,585611.3337,2108344.333,-6.06
641,585611.8488,2108343.476,-6.13
642,585612.3638,2108342.619,-6.2
643,585612.8788,2108341.762,-6.27
644,585613.3939,2108340.904,-6.34
645,585613.9089,2108340.047,-6.39
646,585614.424,2108339.19,-6.29
647,585614.939,2108338.333,-6.2
648,585615.454,2108337.476,-6.1
649,585615.9691,2108336.619,-6
650,585616.4841,2108335.761,-5.91
651,585616.9992,2108334.904,-5.79
652,585617.5142,2108334.047,-5.68
653,585618.0292,2108333.19,-5.56
654,585618.5443,2108332.333,-5.45
655,585619.0593,2108331.476,-5.35
656,585619.5744,2108330.618,-5.37
657,585620.0894,2108329.761,-5.39
658,585620.6044,2108328.904,-5.4
659,585621.1195,2108328.047,-5.42
660,585621.6345,2108327.19,-5.44
661,585622.1495,2108326.333,-5.44
662,585622.6646,2108325.475,-5.44
663,585623.1796,2108324.618,-5.44
664,585623.6947,2108323.761,-5.44
665,585624.2097,2108322.904,-5.44
666,585624.7247,2108322.047,-5.44
667,585625.2398,2108321.19,-5.44
668,585625.7548,2108320.332,-5.44
669,585626.2699,2108319.475,-5.44
670,585626.7849,2108318.618,-5.44
671,585627.2999,2108317.761,-5.48
672,585627.815,2108316.904,-5.51
673,585628.33,2108316.047,-5.54
674,585628.845,2108315.189,-5.58
675,585629.3601,2108314.332,-5.61
676,585629.8751,2108313.475,-5.64
677,585630.3902,2108312.618,-5.66
678,585630.9052,2108311.761,-5.69
679,585631.4202,2108310.904,-5.72
680,585631.9353,2108310.046,-5.74
681,585632.4503,2108309.189,-5.74
682,585632.9654,2108308.332,-5.75
683,585633.4804,2108307.475,-5.75
684,585633.9954,2108306.618,-5.75
685,585634.5105,2108305.761,-5.76
686,585635.0255,2108304.903,-5.76
687,585635.5405,2108304.046,-5.77
688,585636.0556,2108303.189,-5.78
689,585636.5706,2108302.332,-5.78
690,585637.0857,2108301.475,-5.79
691,585637.6007,2108300.618,-5.78
692,585638.1157,2108299.76,-5.78
693,585638.6308,2108298.903,-5.77
694,585639.1458,2108298.046,-5.77
695,585639.6609,2108297.189,-5.76
696,585640.1759,2108296.332,-5.76
697,585640.6909,2108295.475,-5.76
698,585641.206,2108294.617,-5.76
699,585641.721,2108293.76,-5.76
700,585642.2361,2108292.903,-5.76
701,585642.7511,2108292.046,-5.76
702,585643.2661,2108291.189,-5.76
703,585643.7812,2108290.332,-5.76
704,585644.2962,2108289.474,-5.76
705,585644.8112,2108288.617,-5.77
706,585645.3263,2108287.76,-5.81
707,585645.8413,2108286.903,-5.85
708,585646.3564,2108286.046,-5.88
709,585646.8714,2108285.189,-5.92
710,585647.3864,2108284.331,-5.97
711,585647.9015,2108283.474,-6.03
712,585648.4165,2108282.617,-6.09
713,585648.9316,2108281.76,-6.15
714,585649.4466,2108280.903,-6.21
715,585649.9616,2108280.046,-6.25
716,585650.4767,2108279.188,-6.25
717,585650.9917,2108278.331,-6.25
718,585651.5067,2108277.474,-6.25
719,585652.0218,2108276.617,-6.25
720,585652.5368,2108275.76,-6.25
721,585653.0519,2108274.903,-6.25
722,585653.5669,2108274.045,-6.25
723,585654.0819,2108273.188,-6.25
724,585654.597,2108272.331,-6.25
725,585655.112,2108271.474,-6.25
726,585655.6271,2108270.617,-6.25
727,585656.1421,2108269.76,-6.25
728,585656.6571,2108268.902,-6.25
729,585657.1722,2108268.045,-6.25
730,585657.6872,2108267.188,-6.25
731,585658.2022,2108266.331,-6.24
732,585658.7173,2108265.474,-6.24
733,585659.2323,2108264.617,-6.23
734,585659.7474,2108263.759,-6.23
735,585660.2624,2108262.902,-6.23
736,585660.7774,2108262.045,-6.25
737,585661.2925,2108261.188,-6.27
738,585661.8075,2108260.331,-6.29
739,585662.3226,2108259.474,-6.3
740,585662.8376,2108258.616,-6.33
